A,B,C,X,Y,Z,temp_k,Author
KCl,NaCl,ZrCl4,0,0.67511464,0.32488536,909.6229164,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.685971956,0.314028044,897.490729,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.69640698,0.30359302,874.0356358,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.702076306,0.297923694,862.3080892,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.707422711,0.292577289,846.4284987,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.723832226,0.276167774,819.3760838,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.733886413,0.266113587,850.8831102,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.740933792,0.259066208,862.1950605,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.795310088,0.204689912,944.2268745,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.830930493,0.169069507,991.3821791,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.866806426,0.133193574,1017.02089,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.923981216,0.076018784,1050.957809,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.932643447,0.067356553,1052.084088,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.960150771,0.039849229,1061.317077,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.701917912,0.298082088,820.0112353,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.733918493,0.266081507,823.3141837,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.740710209,0.259289791,820.464686,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.666666667,0.333333333,820.464686,Lister and Flengas (1965)
KCl,NaCl,ZrCl4,0,0.531506911,0.468493089,738.0065809,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.624443539,0.375556461,655.9597932,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.60105863,0.39894137,651.3710783,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.577760138,0.422239862,654.0055295,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.533489741,0.466510259,653.7381115,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.623718582,0.376281418,645.3654563,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.600982293,0.399017707,644.990615,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.580059357,0.419940643,646.1818733,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.53399433,0.46600567,645.9133751,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.624208768,0.375791232,636.3368589,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.600852665,0.399147335,634.1558661,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.578163906,0.421836094,637.7537661,Kellogg (1955)
KCl,NaCl,ZrCl4,0,0.533863262,0.466136738,634.95824,Kellogg (1955)
